QAUA00	2080	hourly
QYAA00	2088	threehour
QGUA00	2120	threehour
QTTA00	2100	12Z
QTTA01	2099	00Z
QETA00	2079	12Z
QSTA00	2078	12Z
QHUA04	2013	00Z
QHUA04	2013	12Z
QHTA07	2014	00Z
QHTA07	2014	12Z
QHTA11	2021	00Z
QHTA11	2021	12Z
QHUA17	2027	00Z
QHUA17	2027	12Z
PGBE99	2093	00Z
PGBE99	2093	12Z
QHUQ00	2094	00Z
QHUQ00	2094	12Z
QTTR00	2077	00Z
QTTR00	2077	12Z
QTTE00	2101	00Z
QTTE00	2101	12Z
# four-panel
QHUA71	2043D	00Z
QHUA71	2043D	12Z
QHUE71	2044D	00Z
QHUE71	2044D	12Z
QHUI71	2045D	00Z
QHUI71	2045D	12Z
QHUM71	2046D	00Z
QHUM71	2046D	12Z
QHUQ71	2047D	00Z
QHUQ71	2047D	12Z
QHUA70	2043A	00Z
QHUA70	2043A	12Z
QHUE70	2044A	00Z
QHUE70	2044A	12Z
QHUI70	2045A	00Z
QHUI70	2045A	12Z
QHUM70	2046A	00Z
QHUM70	2046A	12Z
QHUQ70	2047A	00Z
QHUQ70	2047A	12Z
QHUA04	2043B	00Z
QHUA04	2043B	12Z
QHUM86	2044B	00Z
QHUM86	2044B	12Z
QDUI88	2045B	00Z
QDUI88	2045B	12Z
QHUM85	2046B	00Z
QHUM85	2046B	12Z
